Q1_Humanity,Q2_Transparency,Q3_Capability,Q4_Reliabiltiy ,Q5_OpenEnded,PageName,Number_ProductLines,Age of Account (Month),Monthly Spend,Is_Seller?,Is_Subscriber?,Direct_Buyer?
4,4,6,5,I’ve had a solid experience On the site but have not built up an opinion on their fairness or looked into motives (I assume to make money; possibly ethically),HomePage,2,2,887,No,Yes,yes
7,7,7,7,I’ve had several interactions with customer service and you always go above and beyond even when the situation is complicated. This is greatly appreciated when dealing with vendors. You hold responsible parties responsible ,Product,6,127,32.84,No,No,yes
6,6,6,6,I’ve shopped with TCGPlayer for many years. My go to for prices and for any cards I’ve wanted.,Search,1,35,17.48,No,No,yes
7,7,3,7,I used to look for TCG direct when purchasing cards because they would come in one package and consistently fast with grading I can trust. However now I avoid it since if you are not a member of the monthly subscription it takes several weeks for delivery. I like TCG player in other areas but miss the old tcg player direct model and as a result order less. ,Infinite,4,62,7.47,Yes,No,no
5,5,3,5,"I do enjoy the site. I've had both good and bad experiences with the site. I really don't are for how long of a grace period there is for shipping, being a customer only. I really wish everything had tracking. I've had a lot of things not shipped &/or lost and it takes forever to get my money back and time to reorder from someone else then the wait time starts all over. It takes months to build a play a deck off here. Also don't care for the fact that I never talk to anyone and everything is used with a bot. I understand why, just would prefer human interaction.  ",Search,1,27,135.37,No,Yes,yes
7,7,7,7,"Really good customer service, the best website for buying trading cards, as well as trading card game accessories.",Search,1,1,238.16,Yes,No,yes
6,6,6,6,I've been using it for years and never had an issue.,Infinite,1,1,20.28,Yes,No,yes
7,7,6,6,"There are a couple of times that I’ve ordered near mint cards that have shown up in lightly played condition. Ultimately I don’t care too much, I’m willing to pay the slight difference to usually get a card that’s in better condition. I feel like others might care more though.",Product,3,72,31.85,Yes,No,yes
7,7,7,7,N/A,HomePage,4,95,85.22,No,No,yes
6,6,6,6,Agree,Search,1,6,32.36,No,No,yes
7,4,6,6,It’s just how I feel about tag player,Search,1,4,36.95,No,Yes,yes
7,7,7,7,I love TCGPlayer! Keep up the great service!,Product,2,29,65.66,No,No,yes
6,7,6,6,Love this site. You guys do a great job of making things easy to understand and access. Love it,Search,5,118,28.17,No,Yes,yes
5,6,5,6,Been ok with tcgplayer so far,Search,1,1,411.59,No,No,no
5,5,7,7,I think TCGplayer offers a great service for my needs but my experiences of buying yugioh meta singles may not be representative of the general population that includes collectors and vendors,Search,4,24,7.12,No,No,yes
2,4,3,4,In the US its too easy for sellers to lie about cards being unavailable and relisting them at a higher price screwing over whoever ordered them before the price spike if it happens ,HomePage,6,13,384.61,Yes,No,yes
7,7,7,7,I have been extremely worried when I heard Ebay was taking over.  Especially when I had just bought something from Ebay and had a very bad experience and Ebay customer service did nothing.  But I read that you're holding the line against enshittification and keeping your standards high.  /salute.,Search,2,118,27.3,No,Yes,yes
7,7,7,7,I have had no bad experiences shopping on this site that TCG Player has not stepped in to assist with and I appreciate the effort they put in,HomePage,1,1,9.31,No,No,yes
6,6,6,6,"Overall I think you guys do a great job and provide a great service for buyers and sellers. There's always room for improvement though. For sellers, I don't like the idea that if Tracking isn't added, seller loses all rights and has to give a refund. Shipping prices are a lot more expensive these days and giving the buyer a complete out like that I feel is not necessarily fair to the sellers. Perhaps consider other ways to improve upon this process? Also, I really think you should revisit your shopping cart system and considering locking in items that a buyer puts into their cart for at least a few minutes to give them time to browse and buy more items from the same seller so they don't have items sniped from under them while they are adding more items to their cart. It really ruins the shopping experience on here.",Product,2,15,6.29,No,No,yes
4,1,4,5,"Up the Union, down with corporate greed",Search,7,85,59.18,No,Yes,yes
2,2,2,1,"I was getting good customer service and delivery until about 3 weeks ago. The customer service from whatever AI you are using is terrible. Promises of shipping refunds or replacement products go undelivered. I have gotten items shipped with standard shipping after I have ordered and paid for items with priority shipping. That is just awful. TCG has been my go-to place for cards, but I am definitely looking for other outlets to spend my money. I know that my 5 or 600 dollars spent with you may not mean anything, but it absolutely means something to me.  ",Product,2,50,228.02,Yes,No,yes
7,4,7,7,All of my friends have recommended tcg as one of the best places to purchase mtg cards.,Product,8,46,110.82,Yes,No,yes
7,7,7,7,I have always had positive experiences purchasing on TCGplayer and have never had issues when buying through the direct services either.,Product,1,15,127.54,No,No,yes
4,4,3,3,for a buyer and to be scammed and also have our money held for 15 business days is not great,Product,1,32,28.24,No,No,yes
7,7,7,7,Agree,HomePage,6,17,59.25,Yes,No,yes
1,1,5,1,Anti-Union isn't cool. ,Product,2,15,76.83,No,No,yes
1,1,1,1,"TCGplayer has a hands-off method of ensuring both the buyer and seller ship as well as reliably receive products. As both a buyer and seller from TCGplayer, I recently realized the honor system TCGplayer operates on does not work. Buyers have been claiming in an alarming rates that they never received their cards and want their money back. Leaving the seller out of money and product. TCGplayer does nothing for either side to help ensure a fair transaction.",Search,2,36,12.35,No,No,yes
7,7,7,7,"Number one website to shop for any of your favorite TCG, whether it be Pokémon, YO-KAI-GO, or even MetaZoo. With the best prices & always great customer service, don’t forget quality. When I’m searching for a specific product, TCG Player is my go-to. ",Product,1,10,64.45,No,No,yes
4,7,5,7,"So far no issue but sometimes, make like an ebay tracking?",Search,1,55,4.96,No,No,no
6,6,6,6,Cause I’ve only had good experiences using the website on buying items. ,HomePage,1,1,627.41,No,No,yes
7,7,7,7,Anytime I have ever had a problem with TCGPlayer the sellers or TCGPlayer stepped up and corrected the matter. Now I would prefer it if TCGPlayer would stop listing offline sellers as available sellers when i cannot buy items from them. ,Product,1,11,398.49,No,No,yes
7,7,7,7,I've'nt had a bad experience with TCGPLAYER in the years ive used the website.,OrderComplete,1,4,15.44,No,No,no
7,6,6,7,I have been helped and treated greatly by sellers and TCGPlayer itself. Haven't had many issues here and when I have they are either resolved by the seller or by TCGPlayer in reasonable time.,HomePage,2,27,75.63,Yes,No,yes
7,7,7,7,Great website to look for cards that u want from singles to boxes to different card games. ,Search,1,20,13.01,No,No,yes
4,4,4,4,I’ve only ever looked up cards on this site. Never bought or sold anything.,Search,1,1,25.6,No,No,yes
7,7,7,7,"Almost every time I have ordered something from TCG Player, I received my order in a quick and efficient manner, and the cards have always been in pristine condition.  I always order my cards from TCG Player. ",Search,1,3,602.88,No,No,yes
5,4,6,3,"I think, as a TCGPlayer Direct Dealer, that there are many times that my RIs arrive before cutoff time for payment, but are not marked received in time to get paid for the most recent period.  And by waiting a day to mark as received, it pushes my payment back three or four days.  Also, for international orders that are part of my Direct Orders, I should get paid when you get the RI.  I should not have to wait two more weeks as if I had shipped the order myself.",Product,1,1,233.3,No,No,no
4,7,7,6,Yes,Product,2,75,4.51,Yes,No,yes
7,7,7,7,"I am new to this website and this hobby, but I visit almost daily. This is because I feel the site is transparent and sticks to their word. It is easy to use and shop and plan to use for years to come. ",Search,2,64,38.52,No,No,yes
7,6,6,7,Never had a hard time here.,OrderComplete,1,2,75.45,No,No,no
6,5,2,4,"I love how TCGplayer is a great space to buy and sell cards.

I think the way you categorize cards by search isn’t very good. It should include all versions when you search for a card.

I also think that the fees are way too high",Search,1,29,120.14,Yes,Yes,yes
6,2,4,6,"TCGplayer is my go to for tcg singles and sometimes sealed product. I am overall very satisfied with the service and customer care. The market data is a valuable tool and I love when high end cards are posted with pictures(should be required for NM/SP cards over/around$100). Sometimes you get listings wrong or dont show the right picture for a particular card; for example Machamp 1st edition. When there are multiple versions or more recently the Prize Series Promo Packs, some are listed are incorrect. Sellers could do better with conditioning, but TCGplayer has always had my back when a card was delivered in less than ideal condition for what I ordered. I find it hard to believe any capitalist company would be transparent and honest. Also in my opinion you don't create products or experiences but the service of your website and customer service are by far the best. Keep it up! Thank you for existing <3",Product,8,71,67.85,No,No,yes
4,6,4,6,As a seller fees are too high. A lot of cards in direct are consistently out of stock not allowing sales. ,Product,3,99,30.68,No,Yes,yes
7,7,7,7,"I've been using tcgplayer.com for years, and have had overwhelmingly positive experiences with them and recommend them to all TCG players",Search,1,2,91.44,No,No,yes
5,6,5,7,"The are a few problems with the market price appearing on listings.
From the catalog view, it can be hard to tell if a card is in foil, justifying a price above the noted market price for a listing.
Also, the market prices for some cards appear to be subject to manipulations. Some sellers list cards in worse conditions for the same or higher prices as their own better condition cards. Some sales for cards are also way above the prices (like 4x or more) for other sales of the same cards without a picture or something to justify it. The evidence would suggest that a seller is selling to himself to artificially increase the market price",Search,1,40,12.05,No,No,yes
7,7,6,5,Cards have been ordered and due to delivery issues have not arrived on numerous occasions.,OrderComplete,1,3,48.14,No,No,yes
4,2,7,6,"I do not have any experience with TCGplayer exploiting any of my information or motives, but they make it very easy to see all card based products and make is very easy to report any problems with shipping or with any orders",Product,1,6,78.41,No,No,yes
4,3,3,5,Lower fees for sellers to around 5 percent; Free shipping on TCGplayer direct after $25 rather than $50.  Stop squeezing the marketplace.  TCGplayer is only number one now because of value they've delivered in the past.,OrderComplete,6,139,134.33,Yes,No,yes
4,5,6,7,"Never contacted customer service yet, but my orders always arrive and have even shipped early.",Search,2,145,42.82,No,No,yes
2,5,6,6,You guys charge the heck out of us sellers making it hard to afford continuing to sell. Especially with the cost of postage going up so much.,HomePage,1,1,50.03,No,No,no
7,7,7,7,Best prices reasonable or free shipping responsive sellers,Product,1,1,430.46,No,No,yes
4,4,6,4,These questions are better asked to workers rather than users. The website works well except for Remember Me not being a functioning feature ,Product,1,3,109.28,No,No,yes
6,6,6,6,i havent had any problems,Product,1,27,173.32,No,Yes,yes
3,5,5,3,I would love to see TCGPlayer take steps to unionize their workforce. ,Product,1,13,55.3,No,No,yes
4,5,5,6,Enjoyed my usage of your platform ,Product,1,1,5.45,No,No,no
3,5,3,4,"The cart, especially around releases, is almost unusable. If you go through and start with high priced cards and end with commons, half the sellers will randomly go offline. Or, you get the cart to be as few packages as possible, all with free shipping (or close to the $5 needed for free shipping) and any attempt at using the optimizer forces you to have to pay shipping. I would rather the algorithm favor organizing based on free shipping, not on sellers charging $2.50-5 for a single card that might only cost $.50. It makes NO sense, and seems to get worse.",Search,3,19,30.14,No,No,yes
7,6,5,6,"The optimizer is tcgplayer’s best selling point. It is very helpful and had saved me a lot of money. There are no hidden fees, and the shipping is easy to see.",Product,4,33,209.68,No,Yes,yes
4,4,4,4,Neither agree or disagree,HomePage,3,96,63.02,Yes,No,yes
7,7,7,3,I wish there was a bit more transparency in shipping like my order was supposed to be here a week ago and it's still not here but I don't feel it's lost I know it's not your fault. Tcg player is largely perfect in every way,Product,2,44,149.34,No,No,yes
3,3,4,4,TCG does not create. It provides a forum for people to sell to each other. Only the site is manufactured. ,Product,1,4,130.85,No,Yes,yes
4,4,5,5,I see TCGPlayer as a valuable medium to connect both sellers and consumers. The website is also a great resource as pricelists is available for both sides to have. One suggestion I would like to see is a pricelist for foils alongside with the nonfoils.,Search,2,44,322.37,Yes,No,yes
7,4,7,3,So I love this site with all my heart but there has been a few cases where cards didn’t come or where sellers did not pay for delivery and left me to foot the bill. As I first stated I love this company along with those who sell on the platform and with some team effort from all of us we can mend these minor problems. ,Product,1,101,1599.44,Yes,Yes,yes
7,7,7,7,Not long ago I ordered a card via TCGPlayer. The card never (and still hasn’t) arrived. I reached out to the staff and they promptly responded giving me choices on how to further proceed. I appreciate the effort and dedication and will continue to use their platform.,Product,2,25,2.32,No,No,yes
4,6,6,7,"Haven’t had any issues so far, but i haven’t had any need for help to give a full score on some marks",Search,1,13,28.22,No,No,yes
7,7,7,7,"Great company, I have no complaints at all when I've had issues with orders tcgplayer has always been straightforward and quick to respond, definitely will keep using them as my go to for trading cards in the future ",Product,7,45,406.13,No,No,yes
6,6,6,7,"I have no issues with 99% of my purchases, and when there was an issue, the TCG team stepped in right away and communicated with me to resolve my issue. They rock!",Search,4,18,332.01,No,No,no
6,6,6,6,I love TCGplayer very much. I go to them to see all of the pokemon srds prices I want.,Product,4,135,29.02,No,No,yes
7,7,7,7,Excellent prices and customer service. This is the only site I purchase tcg cards from.,Product,6,90,47.4,Yes,No,yes
7,7,7,6,"Website could be a LITTLE more comprehensive. Make going back and forth between cards I select and looking through sets easier. In other words, maybe a floating cart to be able to track what I have in my cart while I search. Buying Cards isn't as easy as buying something from a typical retailer. People will likely have 25-50 items in their cart at any time. Make the cart floating and update it in real time instead of going to an entirely different page. ",Search,4,75,114.87,Yes,No,yes
7,6,7,7,"I like TCGPlayer a lot. It's a useful tool, and it seems like the company strives to put out a great product. I don't consider using other online card buying markets anymore. ",Product,2,16,263,No,No,yes
6,6,6,7,Had nothing but good experiences so far!,Search,1,19,39.17,No,No,yes
7,6,7,7,Never had any issues ,Product,4,9,285.82,No,Yes,yes
6,3,6,6,Satisfied ,Product,1,1,2.52,No,No,yes
6,6,5,5,The site has been having issues for a long time now when it comes to displaying older sets with a variety of games.  To the point if someone cannot remember the name of the card or the set it makes it very hard to find the set or card.  Makes shopping sometimes very hard to do and very frustrating.I can remember two years ago the site was great at this and then over the past two years it has progressively worse.  I have contacted you and applied every idea your team has had to fix it to no avail so its clearly on your end and for some reason no one seems to know how to fix it at all.  So needless to say I am very frustrated with the site.,HomePage,1,1,60.16,No,No,yes
7,7,7,7,I have no complaints about TCGPlayer - aside from that I'd love to see more Pokemon content.,HomePage,6,56,29.12,Yes,No,yes
7,7,7,7,"Every challenge I have ever had on TCGPlayer has been aptly handled by the superb team there. Whether it’s missing orders, card condition or difficult, sometimes straight-up ornery, third-party sellers, I have been taken care of with courtesy, professionalism, consideration and consistency. I literally have no worries ordering from TCGPlayer especially direct.",Product,1,8,7.46,No,No,yes
7,6,7,7,"I’ve purchased a lot of Magic cards from you. I’ve had a few cards not correct and every time you rectify it quickly. I thank you for that. I felt like I was heard, and believed. I feel like you always have informative articles and I read them all the time. My only qualm would be I don’t believe the subscription is worth it, hence why I haven’t purchased one. Other than that, I really like your website, your services, and your insights. Thank you",HomePage,4,46,53.98,No,No,yes
5,6,5,6,I hope the level of card condition can be more detailed.,Product,3,127,6.91,No,No,yes
6,7,6,7,I've not had any issues.,Search,2,1,22.95,Yes,No,no
4,4,6,5,No,Search,1,126,170.02,Yes,No,yes
5,4,4,5,Sometimes better than other times🤷🏼,Search,2,43,200.1,Yes,No,yes
7,6,7,7,Never had any issue ,Product,4,59,135.13,No,No,no
7,7,7,7,TCGPlayer is my first stop for all of my card game purchases. ,Product,1,30,149.69,No,No,yes
7,7,7,6," I just ordered for the first time at the beginning of the month and my friends have always used it but I always get everything for a very good price and some times it doesn't come in on time but also some things came way quicker than I thought. My friend explained it the best when he said, "" You'll order a bunch of cards for a deck and then because it comes in different packages from different stores you'll end up forgetting what you ordered over time and then it's just like a bunch of little gifts from your past self over the next month and it's very very fun. """,Search,1,2,63.95,No,No,yes
5,7,7,7,"I believe TCG player offers a great experience for buyers and sellers alike, giving sellers benefits with gold star selling and shipping offers, and the specials they have going on with store credit and what not are always good.  However, as both a buyer and a seller I do feel TCG player is a bit too buyer sided.  I get that is better overall for it to be buyer sided; however, there are events that can be prevented if they just took everything into account besides ""Oh buyer said this so seller is 100% at fault no questions asked.""  I've seen it too many times where sellers send out properly conditioned cards and then buyer claims ""Oh this isn't NM it's more LP or MP"" and TCG player just goes with what buyer says, even if seller has proof they sent the cards NM.  It definitely just seems easy for buyers to get full refunds for orders that came ""not as described or not delivered"".  Which is hard to prove if it doesn't have tracking, but buyers will says the card isn't as described just to get an easy guaranteed refund.  I just believe TCG player should take what the seller says and has into account if they need to get involved.  A short video showing the cards being packaged and sealed in the envelope and sent out could prevent buyers from scamming sellers and help protect sellers from losing money.  Short of it is, the interaction between buyers and sellers is way too in favor of the buyers where the sellers word means absolutely nothing and they have to deal with it.  Other than that I love TCG player and feel they are very transparent and easy to work with and rely on.",Search,1,45,37.37,No,No,no
6,4,5,5,"I just don’t feel strongly about any of these. And it’s hard to tell when certain delays and issues are a TCGPlayer’s fault or just the post office’s, because of this I don’t feel I can judge them too harshly for any issues I’ve faced, but can’t say I’ve felt they’ve gone above and beyond for me for anything either. ",Product,5,31,13.32,No,No,yes
7,7,7,7,TCG Player regularly exceeds my expectations and provides great customer service.,HomePage,1,22,123.61,No,No,yes
4,6,5,6,"The cart optimizer still has a long way to go, but overall experiences have been good. Recently I've dealt with some issues with the cart where removing some items or changing quantity will somehow shift sellers around, which makes it even harder to find packages that work well. This didn't used to happen in the past. This combined with the optimizer's affinity for splitting things into way too many packages has made it tough to complete even medium sized orders with as few packages as possible. ",HomePage,3,38,299.32,Yes,No,yes
4,4,5,4,Bring back more Big Store Credit days. It feels like we went from having them every month to like twice a year.,Product,1,1,50.98,No,No,no
3,4,2,3,TCG does minimal effort to address issues with sellers who are not delivery appropriate quality cards,Product,2,51,47.07,No,No,yes
7,5,7,7,I always have a great experience as a seller and buyer.,Search,2,41,35.85,Yes,No,yes
6,6,6,6,"I've never had any issue with the site. Everything is always as advertised. One thing is that when you are looking at all MTG sets, not all sets are listed, so it does make finding certain sets difficult.",Search,3,38,136.4,Yes,Yes,yes
4,5,4,4,TCG Player is an app so I don't believe that most of these questions apply to them.,HomePage,2,57,159.24,Yes,No,yes
7,7,7,7,I’m Botha buyer and seller on TCG Player and have not had any issues go unresolved.,HomePage,1,2,1127.5,Yes,No,no
7,4,7,7,"Overall the experience of buying off of TCGPlayer is streamlined with little to no errors. It gets frustrating at times trying to load your cart up with cards, only to go back and see some of them have been sold already, but I understand cards are sold on a first come first serve basis. ",OrderComplete,1,64,17.86,No,No,yes
4,4,5,5,Don’t really use tcg but i will start,Product,1,2,57.58,No,No,yes
2,4,3,2,I'm consistently underwhelmed by the services provided by tcgplayer in comparison to their competitors. ,Product,2,28,33.51,No,No,yes
5,6,6,6,"I can't say anything about the first one, others I agree with",Product,8,90,22,No,No,yes
6,6,6,5,Anybody can sell on tcg player and thats what i dont like. Ive only placed 1 order suppose to be near mint and they all came in lightly played at best,Product,2,52,8.46,No,No,yes
6,6,6,5,I dislike how sellers can cancel orders after a card spikes in price. It can be really unfair.,Search,5,16,488.57,No,Yes,yes
7,7,6,7,"Honestly, TCGPlayer is my go to card pricing place. I have an LGS that I go to to buy cards, but other than that, I use TCGPlayer for almost everything. Also, if shipping wasn't so expensive, I would definitely use it to buy more cards. Please lower shipping costs!! Thanks, have a nice day.",Infinite,5,8,434.12,Yes,No,no
6,6,6,6,When I have had issues with receiving the wrong cards or if one is missing the problem has always been resolved in a satisfactory and speedy manner. I have enjoyed my interactions with the people in customer service. They have always been very nice and understanding and apologetic. Top tier customer service. ,OrderComplete,1,111,136.62,No,No,yes
4,7,5,5,Very consistent just need faster delivery ,HomePage,1,111,136.62,No,No,yes
7,7,7,7,I've had only good experiences with TCGPlayer. Thank you.,OrderComplete,5,29,109.39,Yes,No,yes
3,4,3,5,"I have received Neutral Feedback several times, with the reason being ""Item was not what I was expecting"". These feedbacks are inappropriate for the item ordered.  ",Search,1,16,16.37,No,No,yes
5,5,5,6,"I use TCGPlayer consistently because it is a fair, easy to use system for buying and selling cards. I can't possibly respond to some of these statements in any accurate way because it would be absurd for me to extend my experiences to ""everyone"". I have no idea how TCGPlayer treats other people. In my experience, they have helped right any issues I have encountered quickly and in a way that puts the customer first, and I sincerely appreciate that. In regards to the first statement, I don't think that there is very clear communication to consumers about motives, but when there is communication, I would characterize it as ""straightforward and plain language"". For example, there were plenty of sitewide sales that happened with the rolling out of the subscription program, about 1 per month, and then they have all but disappeared. What happened? I don't know, and that has never been addressed to consumers or subscribers. Have they shown ""empathy and kindness"" towards me? Well, it feels like a bit of a stretch to call customer service empathetic and kind, but I will say that so far, I've had really positive experiences with TCGPlayer employees. ",Product,1,1,37.53,No,No,no
4,4,5,6,Overall the site is good but not great. There are a lot of little things that could be improved.  ,Search,7,15,266.07,No,Yes,yes
7,7,7,7,I have been selling with TCGplayer for months an dI just think that they are great.,Product,1,36,119.23,Yes,No,yes
4,3,5,6,"The Ebay acquisition is felt and not welcome. Changes to the website, costs, and customer experience are worse now. TCG used to be the best price for any MTG single. Now I have to shop around after finalizing my purchase with nickel and dime fees and extras. ",Product,2,15,483.27,Yes,Yes,yes
6,7,6,6,TCGPlayer has been a smooth experience for me,Search,1,3,206.73,No,No,yes
7,6,7,7,"Overall my experience with the website has been amazing
",OrderComplete,1,3,206.73,No,No,yes
7,7,7,6,"My son has started selling his cards. There have been a couple of issues that were resolved in a timely manner, and he has been able to conduct his transactions in a professional manner. Thank you for providing a reliable, and lucrative platform that is helping my son grow an achieve his goals. Well done.",Search,3,27,172.21,No,No,no
6,6,5,5,I think posting for cards above a certain value threshold need to require photos. Some sellers list cards nm and condition is far from it. I would only ever buy cards less than $3 off tcgplayer for this reason. I believe it is the platform’s responsibility to prevent this.,Product,3,107,201.58,No,No,yes
4,4,4,4,I am not really sure how tcgplayer illustrates these. ,Product,5,16,33.5,No,Yes,yes
1,4,2,1,"Since TCGPlayer sold out to Ebay, the customer service is terrible. It takes way too long for orders to arrive, and sellers aren't held responsible for their mistakes. It takes buyers a long time to get credit in their accounts and the subscription program is terrible/useless - The ""free"" stuff is a joke. ",Product,2,1,122.04,No,No,yes
7,7,7,7,Quick fast and concise responses and help is really good,Product,1,2,68.22,No,No,yes
6,7,6,6,Looking at TCG’s website from a collector’s perspective they seem to have their act together and must have a dedicated crew of people working for them! These days people like that are hard to come by so hopefully TCG pays their people good!   ~Rob~,Product,1,4,193,No,No,yes
7,7,7,7,easy to navigate website with all available products. only suggestion would be to have an app for it,Search,5,74,74.5,No,No,yes
1,3,3,1,"the engine is so slow, the search function for cards isnt consistant at all and you never care for the people",Product,1,10,201.25,No,No,yes
7,7,7,7,"I've always gotten quick resolutions with this company and never had to prompt tcgplayer to intervene when necessary- initiative was always assumed by the business. I have occasionally had issues with sellers, but tcgplayer has been 100% faithful and I've never had to questioned the motives or or values that the company keeps.",Search,1,19,48.82,No,No,yes
6,4,6,4,I think this platform is one of the best and I just hope that they can continue to innovate and provide quality service to buyers and sellers while making sure that sellers are able to continue growing the platform and the new management does not go backwards and pushes forward towards a uniformed and complete platform that helps sellers grow profitably and buyers receive quality service efficiently. Also I would love to see more options and customization tools for sellers to better serve both parties of each transaction as an individual seller instead of cliché options for the seller and buyer experience.,Search,3,111,37.95,No,No,yes
4,4,6,6,What I rated a 4 is something I personally have no experience with.,HomePage,2,38,23.79,Yes,No,no
7,7,6,7,Sometimes a card can be listed as lightly played when it is heavily or moderately played.,Search,2,98,32.3,No,No,yes
7,6,6,6,"Only issue I have is not receiving my packages and having to ask for a replacement or a refund after 3-4 weeks. Some sent a replacement and it still didn’t arrive, while I made other transactions delivered to the same address around the same time and they’re delivered within 3-5 days…",Product,2,29,9.67,No,No,no
7,1,2,3,Take off the disney TCG and put back Card Fight Vanguard on the top list.... ,HomePage,1,81,5.43,No,No,no
7,4,7,4,I have had only positive buying experiences. I have not dealt with TcG policies or had any issues buying here.,OrderComplete,4,83,42.66,No,No,yes
7,6,5,7,"Happy with everything, but I feel UI could be a lot better, both as a buyer and a seller. Things have gotten better, though! 

The most frustrating thing I experience regularly is items that appear to be available as TCGplayer direct (free shipping), but when I add them to cart, they are not actually free and there is a shipping charge. This doesn't happen all the time, but it isn't that uncommon. I've put in a ticket about this in the past, but never gotten a satisfactory response/resolution. ",Product,1,118,35.62,No,No,yes
6,7,6,5,shipping prices lower on international orders,Product,1,18,47.24,No,Yes,yes
5,4,4,7,the last two I did not get the right card and the second i don't know about,Product,2,9,89.87,No,No,no
2,5,3,5,Absolutely screw over sellers but there’s no other choice,Search,2,25,103.18,No,Yes,yes
6,4,6,5,"helpful service, checkout can be confusing",Search,5,8,286.17,Yes,No,yes
5,5,6,6,"I’ve gotten nearly all the cards I have ordered, except for 1 card which they warned me was low. Overall affordable and efficient.",Product,2,22,81.83,Yes,No,yes
6,5,4,6,"Tcgplayer staff help a lot especially with resolving issues (for example, someone named Hailey helped me a lot) but half the time it’s the sellers that are the problem (not tcgplayer’s fault). The staff that resolve issues deliver but the sellers half of the time don’t. Other than that tcgplayer is a great site to get cards from. One thing I wish you all had is an easy way to search sellers by state. So that I and others can just transact with sellers nearby that having to buy most of the time from sellers from distant parts of the US then to hear that the package was lost, never arrived etc. Please tcgplayer make that option a reality.",Search,1,81,8.33,No,No,yes
6,6,6,6,almost all my packages came early,Search,1,6,32.9,No,No,no
7,6,7,6,"I wish I could stop getting some spam messages from TCG about whatever products are being released (as a seller, I know, I don't need them clogging my inbox), but otherwise, yes, TCG Player is a great service to get a market price on a trading card or trading card product. If it could be improved, maybe a ""watchlist"" of different items to see what goes up or down?",Search,1,8,662.46,No,Yes,yes
7,5,6,6,"Honestly, there isn't much to explain here. I've been using TCGPlayer for years and the device that the website provides has always been quality. Where there have been decision made by TCGPlayer that have irked me from time to time, I recognize that those annoyances are more personal rather than the service itself being annoying.",Product,2,23,9.74,No,No,yes
7,7,7,7,"There are some technical hiccups here and there, but overall, TCG Player is _the best_ collector experience I've ever had online. What makes the platform the best is the ease with which I can view products, shop from particular sellers, and optimize my cart to find the best deals. But the reason I now use TCG Player almost exclusively is the transparency and integrity of the company and platform: if an item doesn't arrive, or if it's not as advertised, I know that TCG Player will help make it right. 
I'm relatively new to the platform, but that level of security is why I encourage all the collectors I know to use TCG Player.",Product,2,8,124.54,No,Yes,yes
7,6,5,3,"Sometimes cards don't show up.  Tcgplayer always offers me either a replacement card or a refund, but I'd really rather have avoided the hassle.",OrderComplete,3,20,31.48,No,No,yes
6,4,7,6,They're trying their best,HomePage,1,10,117.88,No,No,yes
5,6,2,6,Allow negative feedback to appear in seller portal. I am tired of seeing 5-star sellers and receiving 1-star service. I order less now. ,Search,1,1,127.29,No,No,yes
6,6,6,6,A G R E E 👽,Product,1,1,27.76,No,No,yes
